company_name,company_number,company_status,company_type,company_subtype,dissolution_date,incorporation_date,removed_date,registered_date,nature_of_business,registered_office_address,postcode,lng,lat
DMLC ENTERTAINMENT LIMITED,13587610,Active,Private limited company,,,2021-08-26,,,32200 56302 73120 90020,30-31 Lower Tower Street Birmingham B19 3NH England,B19 3NH,-1.898094,52.490973
OMNIS RES LTD,14959475,Active,Private limited company,,,2023-06-24,,,32200 71121 71129,7 Brambley Hedge Tower Street Dover CT17 0XN England,CT17 0XN,1.301984,51.128562
LOGJAM MUSIC LIMITED,07035181,Active,Private limited company,,,2009-09-30,,,32200,No 1 Approach Road Raynes Park London SW20 8BA ,SW20 8BA,-0.228497,51.408931
DAVREN LIMITED,03071316,Active,Private limited company,,,1995-06-22,,,32200,Thomas House Pope Lane Whitestake Preston PR4 4AZ ,PR4 4AZ,-2.729285,53.731598
GREINER VIOLINS LIMITED,09585166,Active,Private limited company,,,2015-05-11,,,32200,36 New End Square London NW3 1LS United Kingdom,NW3 1LS,-0.175449,51.558025
MCCALLUM BAGPIPES LIMITED,SC232526,Active,Private limited company,,,2002-06-10,,,32200,Unit 1-3 Moorfield Industrial Estate Kilmarnock KA2 0BA Scotland,KA2 0BA,-4.535436,55.600196
NITHSDALE VENDING LIMITED,SC109196,Active,Private limited company,,,1988-02-15,,,32200,Birchdale Hydro Drive Moffat DG10 9RX ,DG10 9RX,-3.449469,55.343035
ASHMILL MUSIC CO. LTD,12455625,Active,Private limited company,,,2020-02-11,,,32200,The Granary Hermitage Court Hermitage Lane Maidstone ME16 9NT United Kingdom,ME16 9NT,0.478818,51.278267
MEET MY ANCESTORS LIMITED,15921499,Active,Private limited by guarantee without share capital,,,2024-08-28,,,32200 85520 90010 90030,"C/O Prime Theatre Wyvern Theatre, Theatre Square Swindon SN1 1QN England",SN1 1QN,-1.781202,51.559197
FUTURE SOUND SYSTEMS LIMITED,11558912,Active,Private limited company,,,2018-09-07,,,27900 32200,Unit 2 Princess Street St. Philips Bristol BS2 0RR England,BS2 0RR,-2.574098,51.454122
CESYG LTD,11936041,Active,Private limited company,,,2019-04-09,,,32200 71129,120 Lovell Road Cambridge CB4 2QP United Kingdom,CB4 2QP,0.142336,52.231056
GUITAR PARTS & SERVICES LIMITED,11849531,Active,Private limited company,,,2019-02-27,,,32200,Unit 1 Allerthorpe Business Park York Road Pocklington YO42 1NS England,YO42 1NS,-0.815113,53.926665
STAMFORD STRINGS LIMITED,12197895,Active,Private limited company,,,2019-09-10,,,32200 47591 95290,Ground Floor Offices 63 High Street St Martins Stamford PE9 2LA England,PE9 2LA,-0.477834,52.648944
LONGFELLOW GUITARS LTD,12714780,Dissolved,Private limited company,,2024-09-17,2020-07-02,,,32200,40 The Green Charlbury Chipping Norton OX7 3QB England,OX7 3QB,-1.476393,51.876988
BEECH LEAF AUDIO LTD,14528021,Active,Private limited company,,,2022-12-07,,,32200 33140 47430 59200,21 Primrose Way Horbury Wakefield WF4 6AW England,WF4 6AW,-1.565273,53.663499
OAKLEIGH 6S LIMITED,15925208,Active,Private limited company,,,2024-08-29,,,32200,Oakleigh 6 Pond Head Holt Wimborne BH21 7DP United Kingdom,BH21 7DP,-1.953599,50.839667
DINGLEY INNOVATIONS LTD,14301744,Active,Private limited company,,,2022-08-17,,,32200,103a Swansea Road Llangyfelach Swansea SA5 7HX United Kingdom,SA5 7HX,-3.956196,51.667351
TK GUITARS LTD,13015156,Active,Private limited company,,,2020-11-12,,,32200,54 St. Peters Road Basingstoke RG22 6TE England,RG22 6TE,-1.116099,51.260969
BETWIXT LIMITED,10573596,Active,Private limited company,,,2017-01-19,,,32200 62090,Mandage House Westerton Chichester PO18 0PG United Kingdom,PO18 0PG,-0.743058,50.85863
BRIGHT ONION PEDALS LIMITED,11207373,Active,Private limited company,,,2018-02-15,,,32200,86 Downs Valley Road Brighton BN2 6RF England,BN2 6RF,-0.065286,50.83198
SHUSH INSTRUMENTS LTD,14607530,Active,Private limited company,,,2023-01-20,,,32200 46491 47591,34 Bates Street Sheffield S10 1NQ England,S10 1NQ,-1.499874,53.388315
ANDANTE PERCUSSION LTD,NI049797,Active,Private limited company,,,2004-02-24,,,32200,97 Bannfield Road Ballyroney Banbridge BT32 5JQ ,BT32 5JQ,-6.114744,54.252725
TROUBATONE LTD,13530358,Dissolved,Private limited company,,2024-10-29,2021-07-26,,,32200 90010,Old Farm House Chesterfield Road Rowsley Matlock DE4 2EG England,DE4 2EG,-1.609674,53.191169
TONEWOLF LTD,15255562,Active,Private limited company,,,2023-11-02,,,32200,20 Great Portway Great Denham Bedford MK40 4GB England,MK40 4GB,-0.515511,52.127001
RYAN GIBSON GUITARS LIMITED,SC518053,Dissolved,Private limited company,,2024-10-15,2015-10-15,,,32200,23 Manse Crescent Stirling FK7 9AJ Scotland,FK7 9AJ,-3.938244,56.103978
FENDER MUSICAL INSTRUMENTS EUROPE LIMITED,03127180,Active,Private limited company,,,1995-11-16,,,32200,Leo House Birches Industrial Estate East Grinstead RH19 1QZ ,RH19 1QZ,-0.034752,51.136329
ROBERT MORLEY AND COMPANY LIMITED,00252323,Active,Private limited company,,,1930-11-28,,,32200 47591,"34,Engate Street, London. SE13 7HA ",SE13 7HA,-0.01306,51.459451
FREQUENCY CENTRAL LIMITED,08481368,Active,Private limited company,,,2013-04-09,,,32200,25 Lichfield Close New Arley Coventry CV7 8PU United Kingdom,CV7 8PU,-1.573176,52.503725
THE AUDEN MUSICAL INSTRUMENT COMPANY LIMITED,08521356,Active,Private limited company,,,2013-05-09,,,32200,37 York Road Higham Ferrers Rushden NN10 8HZ ,NN10 8HZ,-0.592148,52.311423
ALDINGTON GREEN LIMITED,10818377,Dissolved,Private limited company,,2024-09-24,2017-06-14,,,32200 47910,First Floor North 40 Oxford Road High Wycombe HP11 2EE England,HP11 2EE,-0.757537,51.632369
S&J LEGG LTD,15162762,Active,Private limited company,,,2023-09-25,,,32200 45200,32 Montrose Avenue Doncaster DN2 6PN England,DN2 6PN,-1.097845,53.53047
NOISY HAMMER LTD,13804317,Active,Private limited company,,,2021-12-16,,,16230 32200 46491,64 Pitt Street Norwich NR3 1DF England,NR3 1DF,1.292262,52.636118
JAMBALOM LTD,10885250,Active,Private limited company,,,2017-07-26,,,32200 46491 59200 90020,124 Treherne Road Coventry CV6 3DY United Kingdom,CV6 3DY,-1.52034,52.432448
BUSBY GUITARS LTD,09404156,Active,Private limited company,,,2015-01-23,,,32200,76 Regency Gardens Walton-On-Thames KT12 2BE England,KT12 2BE,-0.39812,51.385293
MONIQUE MUSICAL INSTRUMENT GROUP LIMITED,13042545,Dissolved,Private limited company,,2024-10-08,2020-11-25,,,32200,291 Brighton Road South Croydon CR2 6EQ United Kingdom,CR2 6EQ,-0.098321,51.352071
ZUIHOUZAIZ LIMITED,15345202,Dissolved,Private limited company,,2024-10-08,2023-12-12,,,32200 77210,15345202 - COMPANIES HOUSE DEFAULT ADDRESS Cardiff CF14 8LH ,CF14 8LH,-3.203757577084575,51.520080136172695
EAST DURHAM GUITARS NORTH EAST LTD,15973121,Active,Private limited company,,,2024-09-23,,,32200 47591,4 Orchard Drive Durham DH1 1LA England,DH1 1LA,-1.563627,54.781536
BILANEW LIMITED,15350593,Dissolved,Private limited company,,2024-10-01,2023-12-14,,,22220 32200,15350593 - COMPANIES HOUSE DEFAULT ADDRESS Cardiff CF14 8LH ,CF14 8LH,-3.203757577084575,51.520080136172695
RENATUS LIMITED,04061498,Active,Private limited company,,,2000-08-29,,,16290 32200,Unit 6 Alverdiscott Road Industrial Estate Bideford EX39 4LQ ,EX39 4LQ,-4.185028,51.012165
OGEE SOUND LTD,14526208,Active,Private limited company,,,2022-12-07,,,32200 43290,Flat 2-8 12 Kings Gardens Hove BN3 2PF England,BN3 2PF,-0.171242,50.825046
ACC WOOD LIMITED,10686909,Active,Private limited company,,,2017-03-23,,,31090 32200 43320,Cary Chambers 1 Palk Street Torquay TQ2 5EL United Kingdom,TQ2 5EL,-3.525575,50.461397
FG MUSIC TECH LTD,12873946,Active,Private limited company,,,2020-09-11,,,32200 62011 62012 85590,81 Skipper Way Little Paxton St. Neots PE19 6LT England,PE19 6LT,-0.265305,52.241635
ITS INSTRUMENTAL LIMITED,15979909,Active,Private limited company,,,2024-09-26,,,32200 46491 47591,15 Cooksbridge Road Brighton BN2 5HH England,BN2 5HH,-0.10671,50.827075
BERLANT ELECTRIC INSTRUMENTS LIMITED,12973187,Active,Private limited company,,,2020-10-26,,,32200 33140 46491,Unit 1c Denby Dale Industrial Park Wakefield Road Denby Dale Huddersfield HD8 8QH England,HD8 8QH,-1.660982,53.572181
SOUTHWELL GUITARS LIMITED,04556178,Active,Private limited company,,,2002-10-08,,,32200,Appleton House 25 Rectory Road West Bridgford Nottingham NG2 6BE United Kingdom,NG2 6BE,-1.12965,52.930035
ROGER HANSELL VIOLINS LIMITED,04993389,Active,Private limited company,,,2003-12-12,,,32200,Leyburn Business Park Harmby Road Leyburn DL8 5QA ,DL8 5QA,-1.817608,54.307184
TELYNAU TEIFI CYF,04821960,Dissolved,Private limited by guarantee without share capital,,2024-10-18,2003-07-04,,,32200,1st Floor Pembroke House Charter Court Swansea Enterprise Park Llansamlet SA7 9FS ,SA7 9FS,-3.911976,51.652999
CREAM T PICKUPS LTD,08754075,Active,Private limited company,,,2013-10-30,,,32200,Stoneygate House 2 Greenfield Road Holmfirth HD9 2JT ,HD9 2JT,-1.790408,53.569196
ZEPHYR HANDPANS LIMITED,10581634,Active,Private limited company,,,2017-01-24,,,32200,Kenilworth Hambledon Road Denmead PO7 6NU England,PO7 6NU,-1.065049,50.904036
LUTHIER DIRECT LTD,NI655857,Active,Private limited company,,,2018-09-20,,,32200,8 Glenford Way 8 Glenford Way Newtownards BT23 4BX United Kingdom,BT23 4BX,-5.706884,54.598287
DUBREQ LTD,09351653,Active,Private limited company,,,2014-12-11,,,32200,45 Robertson Street Hastings TN34 1HL ,TN34 1HL,0.578001,50.85521
GEORGE LOWDEN & COMPANY LIMITED,NI048674,Active,Private limited company,,,2003-11-13,,,32200,"114 Saintfield Road Saintfield, Ballynahinch Saintfield BT24 7JS ",BT24 7JS,-5.789986,54.422488
GHOST NOTE ACCESSORIES LTD,14478658,Active,Private limited company,,,2022-11-11,,,32200 46491 47591,The Milking Parlour Hurst Farm Dairy Lane Crockham Hill TN8 6RA United Kingdom,TN8 6RA,0.055856,51.23305
R.G. HARDIE & CO. LTD.,SC251551,Active,Private limited company,,,2003-06-23,,,32200,45 Grovepark Street Glasgow G20 7NZ ,G20 7NZ,-4.266653,55.875303
BUMP BPM LTD,15303324,Active,Private limited company,,,2023-11-22,,,26400 32200 47910 85520,5 Chevin View Pool In Wharfedale Otley LS21 1NE England,LS21 1NE,-1.630091,53.90356
WELLCREATE LIMITED,07168702,Active,Private limited company,,,2010-02-25,,,32200 86210,Helensgate House Carr Lane Weel Beverley HU17 0SQ United Kingdom,HU17 0SQ,-0.385344,53.840568
QUAZONE LTD,16113936,Active,Private limited company,,,2024-12-02,,,32200 47591 47910 85590,71-75 Shelton Street Covent Garden London WC2H 9JQ United Kingdom,WC2H 9JQ,-0.123615,51.514897
BERYL GUITARS LTD,06762693,Active,Private limited company,,,2008-12-01,,,32200 47591 85590 95290,55 Lorne Street Kidderminster DY10 1SX England,DY10 1SX,-2.235307,52.387063
MELODIC TRANSDUCERS LTD,16126714,Active,Private limited company,,,2024-12-09,,,32200,14 Bush Hill London N21 2DA England,N21 2DA,-0.082573,51.644715
NOISY TOYS LIMITED,06449852,Active,Private limited company,,,2007-12-11,,,32200 85200 85310 90010,Unit 7 Victoria Road Hebden Bridge HX7 8LN England,HX7 8LN,-2.013869,53.74604
GENERATION MUSIC LIMITED,05609149,Active,Private limited company,,,2005-11-01,,,32200,Units 2 & 4 Mile Oak Industrial Estate Oswestry SY10 8GA ,SY10 8GA,-3.042145,52.844957
AURORA GUITARS LTD,15234533,Active,Private limited company,,,2023-10-25,,,32200 71121 74100,71-75 Shelton Street Covent Garden London WC2H 9JQ United Kingdom,WC2H 9JQ,-0.123615,51.514897
BLACKWELL ORIGINAL DRUMS LIMITED,08766157,Active,Private limited company,,,2013-11-07,,,32200,75 Newnham Street Ely CB7 4PQ ,CB7 4PQ,0.266848,52.401216
CAMOLOGY LTD,14623323,Active,Private limited company,,,2023-01-28,,,31090 32200 32409,8 Lucknam Crescent Coate Swindon SN3 6FW England,SN3 6FW,-1.72615,51.531324
THE ALPINE MUTE CO LTD,08849915,Active,Private limited company,,,2014-01-17,,,32200,"C/O Incorporate Online Ltd Suite 3 Second Floor, 760 Eastern Avenue Newbury Park IG2 7HU United Kingdom",IG2 7HU,0.084655,51.573366
GLASTONBURY GUITARS LIMITED,05353507,Active,Private limited company,,,2005-02-04,,,32200,The Old Coach House Horse Fair Rugeley WS15 2EL England,WS15 2EL,-1.935852,52.757574
REGENCY REEDS LIMITED,08447198,Active,Private limited company,,,2013-03-15,,,32200,26 Himbleton Road Worcester WR2 6BB England,WR2 6BB,-2.241226,52.20061
GB ELECTRIC GUITARS LIMITED,12922111,Dissolved,Private limited company,,2024-12-17,2020-10-02,,,32200,33 Parklands Gardens Birmingham Road Walsall WS1 2NW England,WS1 2NW,-1.967516,52.576794
MODAL ELECTRONICS LIMITED,08616217,Dissolved,Private limited company,,2024-12-10,2013-07-19,,,32200,C/O Kirker & Co Centre 645 2 Old Brompton Road London SW7 3DQ ,SW7 3DQ,-0.174881,51.494007
VK DRUMS LTD,08603608,Active,Private limited company,,,2013-07-10,,,32200,2 Parkside Mews Worsbrough Bridge Barnsley S70 5DN England,S70 5DN,-1.465353,53.534617
DIGITALENT (DEVELOPMENT) LIMITED,01430159,Active,Private limited company,,,1979-06-15,,,26400 32200 62011,"The House By The Green Rope Way,Hook Norton Oxfordshire OX15 5QB ",OX15 5QB,-1.480142,51.992809
IHLE VIOLINS LTD,09666379,Active,Private limited company,,,2015-07-01,,,32200,Robert Blair Primary School Brewery Road London N7 9QJ United Kingdom,N7 9QJ,-0.119643,51.545184
DL4C LTD,08320318,Active,Private limited company,,,2012-12-06,,,32200 62020,Little Broughton Farm Broughton Lane Shoreditch Taunton TA3 7BH England,TA3 7BH,-3.077409,50.993586
WOLFRAM SLIDES LIMITED,03977810,Active,Private limited company,,,2000-04-20,,,32200 47591,53 Lubbock Road Chislehurst BR7 5JG ,BR7 5JG,0.052716,51.41205
CORPULENT SOUNDS LTD,15218043,Active,Private limited company,,,2023-10-18,,,32200 59200,The Villa Kings Pyon Hereford HR4 8PY United Kingdom,HR4 8PY,-2.82123,52.158328
SHOWREEL MEDIA LTD,12490411,Active,Private limited company,,,2020-02-28,,,32200 59113 59200,Flat 5 Flat 5 3 Meadow Brown Place Sandbach United Kingdom,CW11 4AT,-2.34822,53.15113
TEAM MUSIC LTD,06457668,Active,Private limited company,,,2007-12-19,,,32200,178 Fitzalan Road Arundel BN18 9JZ ,BN18 9JZ,-0.56156,50.848827
FYLDE GUITARS LIMITED,04999224,Active,Private limited company,,,2003-12-18,,,32200,"The Round House, Mosedale Penrith Cumbria CA11 0XQ ",CA11 0XQ,-3.002105,54.679994
SOLMANGO LTD,04729837,Active,Private limited company,,,2003-04-10,,,32200 62020,Unit F Admiralty Road Great Yarmouth NR30 3PU England,NR30 3PU,1.731108,52.59121
JAMIE JOHNSON GUITAR LTD,14497587,Dissolved,Private limited company,,2024-12-31,2022-11-21,,,32200 47591 59200 85590,48 Keenan Road Carlisle CA1 3UF United Kingdom,CA1 3UF,-2.887863,54.880914
ANDREA ORTONA VIOLINS LTD,11894598,Active,Private limited company,,,2019-03-20,,,32200,Finsbury House New Street Chipping Norton OX7 5LL England,OX7 5LL,-1.548057,51.941841
QUANTOM RECORDING LTD,13960897,Active,Private limited company,,,2022-03-07,,,32200 59200 90030,Flat 24 St. Peter's House 20-26 York Place Brighton BN1 4LG England,BN1 4LG,-0.136082,50.82904
ZEPHYR PANS LIMITED,10581480,Active,Private limited company,,,2017-01-24,,,32200,Kenilworth Hambledon Road Waterlooville PO7 6NU England,PO7 6NU,-1.065049,50.904036
RED KITE FLUTES LIMITED,10682677,Active,Private limited company,,,2017-03-21,,,32200 47591,28 Brookside Road Istead Rise Gravesend DA13 9JJ United Kingdom,DA13 9JJ,0.355172,51.40716
WILD BEAR AUDIO LTD,15363092,Active,Private limited company,,,2023-12-19,,,32200 59200,22 Oxhay Gardens Crich Matlock DE4 5PE England,DE4 5PE,-1.473576,53.086337
JEWCIRCLES LTD,14994403,Dissolved,Private limited company,,2024-12-17,2023-07-11,,,32120 32130 32200,128 City Road London EC1V 2NX United Kingdom,EC1V 2NX,-0.088894,51.527304
JAY DEE CUSTOM GUITARS LIMITED,01611317,Active,Private limited company,,,1982-02-04,,,32200,Unit A2 2 Bowyer Street Birmingham B10 0SA ,B10 0SA,-1.877082,52.473539
JACK DUNNING LTD,05441318,Active,Private limited company,,,2005-05-03,,,32200 62090,6 Dimsdale Street Hertford SG14 1PH ,SG14 1PH,-0.082243,51.797573
VECK LIMITED,09466983,Active,Private limited company,,,2015-03-03,,,32200 47910,7 Woodland Walk Ovingdean Brighton BN2 7AR United Kingdom,BN2 7AR,-0.07389,50.818228
CHAPTER & VERSE HOLDINGS LTD,15323480,Active,Private limited company,,,2023-12-02,,,32200,8 Gleneagles Drive Doncaster DN4 6UN United Kingdom,DN4 6UN,-1.055257,53.499175
OPPIO LIMITED,12459350,Active,Private limited company,,,2020-02-12,,,32200,C/O Gmc Business Advisers Ltd The Joiners Shop The Historic Dockyard Chatham ME4 4TZ England,ME4 4TZ,0.527592,51.394241
CAMBRIDGE VIOLINS LTD,11938081,Active,Private limited company,,,2019-04-10,,,32200,51 Stretten Avenue Cambridge CB4 3ES United Kingdom,CB4 3ES,0.116992,52.217621
DICKINSON MANUFACTURING COMPANY LIMITED,03723296,Active,Private limited company,,,1999-03-01,,,32200,Antenna Studios Bedwardine Road Crystal Palace London SE19 3AN England,SE19 3AN,-0.083399,51.418464
AITCHISON FINE VIOLINS LIMITED,03881569,Active,Private limited company,,,1999-11-22,,,32200,75 Newnham Street Ely Cambridgeshire CB7 4PQ ,CB7 4PQ,0.266848,52.401216
KALA BRAND MUSIC UK LIMITED,15842359,Active,Private limited company,,,2024-07-16,,,32200,"Unit B3, Premier Building Pantglas Farm Industrial Estate Bedwas Caerphilly CF83 8YE Wales",CF83 8YE,-3.189407,51.59003
STEELDRUMBANDS LTD,10917622,Active,Private limited company,,,2017-08-16,,,32200 90010 90020,70 Rosebery Street Manchester M14 4US United Kingdom,M14 4US,-2.242969,53.454755
JOHN LIGHTBOWN & SONS ORGAN BUILDERS LIMITED,04587666,Active,Private limited company,,,2002-11-12,,,32200,14ab Huntingdon Place Tynemouth North Shields NE30 4RF ,NE30 4RF,-1.427493,55.017879
THAWNEY LTD,15268877,Active,Private limited company,,,2023-11-08,,,32200 59200 90020 90030,64 Pennywell Road 64 Pennywell Road Bristol BS5 0TG England,BS5 0TG,-2.577664,51.460776
FIRST CLASS BRASS LIMITED,03666233,Active,Private limited company,,,1998-11-12,,,32200,3 West Street Leighton Buzzard LU7 1DA ,LU7 1DA,-0.662055,51.917611
RUSCHIL & BAILLY LTD,15016775,Dissolved,Private limited company,,2024-11-19,2023-07-20,,,32200 47591,35 Fairfield Gardens London N8 9DD England,N8 9DD,-0.121356,51.581343
CRITCHLOW CONSULTING LTD,13760547,Dissolved,Private limited company,,2025-01-14,2021-11-23,,,32200,Grange Farm Grange Road Bromley Cross Bolton BL7 9AX England,BL7 9AX,-2.404543,53.619766
AS CONCERT VIOLINS LTD,14893832,Active,Private limited company,,,2023-05-25,,,32200,"4th Floor, Silverstream House 45 Fitzroy Street Fitzrovia London W1T 6EB England",W1T 6EB,-0.140519,51.523817
DUPLEX PIPE ORGAN AND BLOWER COMPANY LTD,04131526,Active,Private limited company,,,2000-12-28,,,32200,256 Sem Accountancy Services 256 Martin Way Morden SM4 4AW ,SM4 4AW,-0.212699,51.403277
THUMBPICKS LIMITED,16399891,Active,Private limited company,,,2025-04-22,,,32200,"Flat3, 39a Golders Green Road London NW11 8EE England",NW11 8EE,-0.197431,51.571988
UP TO PITCH INNOVATIONS LTD,12452458,Dissolved,Private limited company,,2025-04-15,2020-02-10,,,32200,The Other Studio Unit 5 Swinnow Grange Mills Stanningley Road Leeds LS13 4EP England,LS13 4EP,-1.648781,53.80732
AXE MEISTER GUITARS LTD,16381474,Active,Private limited company,,,2025-04-11,,,32200 33190,7a Harrow Road Hereford HR4 0EH United Kingdom,HR4 0EH,-2.729142,52.060196
NOISY CLAN LTD,SC655535,Active,Private limited company,,,2020-02-24,,,32200,272 Bath Street Glasgow G2 4JR Scotland,G2 4JR,-4.268941,55.865464
MATTHEW COLTMAN BOWMAKER LIMITED,08129059,Active,Private limited company,,,2012-07-03,,,32200,Little House Pipewell Kettering NN14 1QZ England,NN14 1QZ,-0.76814,52.461197
SUSSEX VIOLINS LTD,15379236,Active,Private limited company,,,2023-12-31,,,32200 47591 90020,10 Cuckoo Gate Goring-By-Sea Worthing BN12 6FF England,BN12 6FF,-0.430203,50.824104
KINUBI AUDIO LTD,12531929,Dissolved,Private limited company,,2025-01-21,2020-03-24,,,32200 47591,1 King Street Worcester WR1 2NX United Kingdom,WR1 2NX,-2.218937,52.187626
JACKSON DEVICES LTD,16220392,Active,Private limited company,,,2025-01-31,,,32200,20 Wenlock Road London N1 7GU England,N1 7GU,-0.09371,51.530737
STONE WOLF GUITARS LTD.,08796972,Active,Private limited company,,,2013-11-29,,,32200,Unit 23 Wood Burcote Farm Business Park Burcote Wood Towcester NN12 8TA England,NN12 8TA,-0.995939,52.111409
PERCUSSION TECHNOLOGY LTD,14488102,Active,Private limited company,,,2022-11-16,,,32200,Creaton Cottage Creaton Cottage Freer Street Nuneaton CV11 4PR United Kingdom,CV11 4PR,-1.454505,52.513389
RIFT AMPLIFICATION LTD,12078319,Dissolved,Private limited company,,2025-01-19,2019-07-01,,,26400 32200,Fortis Insolvency Limited 683-693 Wilmslow Road Manchester M20 6RE ,M20 6RE,-2.231334,53.417088
VIDEO CREATIVES LTD,08478898,Active,Private limited company,,,2013-04-08,,,32200 47910 59112,77 Milson Road London W14 0LH ,W14 0LH,-0.21447,51.49913
THE VINYL SOURCE LTD,11307440,Active,Private limited company,,,2018-04-12,,,26400 32200 33130 68100,71-75 Shelton Street London WC2H 9JQ United Kingdom,WC2H 9JQ,-0.123615,51.514897
LAWRENCE GUITAR & BASS LTD,13703734,Dissolved,Private limited company,,2025-02-18,2021-10-26,,,32200,"Brotterton Suite, Ketteringham Hall Church Road Ketteringham NR18 9RS England",NR18 9RS,1.191888,52.578071
THE VIOLIN SHOP LIMITED,06331154,Dissolved,Private limited company,,2025-02-18,2007-08-01,,,32200,2 Chisholm Place Hexham NE46 1QW England,NE46 1QW,-2.107644151010698,54.97906512960753
STARLIGHT COMMERCE LTD.,15827395,Dissolved,Private limited company,,2025-02-18,2024-07-09,,,32120 32200 46450 46480,15827395 - COMPANIES HOUSE DEFAULT ADDRESS Cardiff CF14 8LH ,CF14 8LH,-3.203757577084575,51.520080136172695
SHEERAN BY LOWDEN LIMITED,16245351,Active,Private limited company,,,2025-02-11,,,32200,41 Great Portland Street London W1W 7LA United Kingdom,W1W 7LA,-0.141696,51.517199
FOUR FROG INSTRUMENTS LTD,15483386,Active,Private limited company,,,2024-02-12,,,32200,Croft Myl West Parade Halifax HX1 2EQ England,HX1 2EQ,-1.866311,53.719551
GRAM CULTURE AUDIO LIMITED,16259714,Active,Private limited company,,,2025-02-18,,,32200,Suite 402 2 Old Brompton Road London SW7 3DQ United Kingdom,SW7 3DQ,-0.174881,51.494007
ARCHAEA MODULAR SYNTHESIS LIMITED,15510370,Active,Private limited company,,,2024-02-21,,,32200,"85 Great Portland Street, First Floor London W1W 7LT England",W1W 7LT,-0.14238,51.518469
MAJETONE LTD,13422634,Active,Private limited company,,,2021-05-26,,,32200 59200,85 Great Portland Street First Floor London W1W 7LT England,W1W 7LT,-0.14238,51.518469
CLOUD 9 GUITARS LTD,14008771,Active,Private limited company,,,2022-03-29,,,32200,16 Beatrice Terrace Shiney Row Houghton Le Spring DH4 4QW United Kingdom,DH4 4QW,-1.4934,54.867344
GSVJIBZ LIMITED,15546709,Dissolved,Private limited company,,2025-03-11,2024-03-07,,,32200 59200,15546709 - COMPANIES HOUSE DEFAULT ADDRESS Cardiff CF14 8LH ,CF14 8LH,-3.203757577084575,51.520080136172695
232 ENTERTAINMENT SL LTD,16304757,Active,Private limited company,,,2025-03-10,,,32200 47591 47630 59200,139 Ampleforth Road London SE2 9BG England,SE2 9BG,0.117531,51.499117
GREENDRAWER LIMITED,02607816,Active,Private limited company,,,1991-05-03,,,32200 74902 96030,22 Ashley Common Road Ashley New Milton Hampshire BH25 5AR ,BH25 5AR,-1.641625,50.762024
GROSVENOR ORGANS LTD,16358622,Active,Private limited company,,,2025-04-01,,,32200,18-20 Princess Road Allostock Knutsford WA16 9LQ England,WA16 9LQ,-2.387032,53.236867
SUSSEX GUITARS LTD,13261318,Active,Private limited company,,,2021-03-11,,,32200,108 London Road Hailsham BN27 3AL England,BN27 3AL,0.25092,50.872321
GLASTONBURY RECORDS LTD,15216260,Active,Private limited company,,,2023-10-17,,,32200 47591 47630 59200,127 High Street Street BA16 0EX England,BA16 0EX,-2.742312,51.125074
SBROTHERS COMPOSITE INSTRUMENTS LIMITED,12701215,Dissolved,Private limited company,,2025-07-01,2020-06-29,,,32200,128 Stoke Lane Westbury On Trym Bristol BS9 3RJ United Kingdom,BS9 3RJ,-2.624514,51.48886
THE KORA WORKSHOP LTD,10438121,Dissolved,Private limited company,,2025-07-01,2016-10-20,,,32200 85590,30 Circus Mews Bath BA1 2PW England,BA1 2PW,-2.364505,51.387064
TRUE TONE LIMITED,11286737,Active,Private limited company,,,2018-04-03,,,26400 31090 32200 47910,86-90 Paul Street London EC2A 4NE England,EC2A 4NE,-0.083602,51.525617
OVERBECK MUSIC LIMITED,14188168,Active,Private limited company,,,2022-06-22,,,32200 59200 72190 90010,Unit C1 41 Dace Road London E3 2NG ,E3 2NG,-0.02289,51.538044
TONE FACTORY LTD,15417056,Active,Private limited company,,,2024-01-16,,,32200,3 Sunfield Estate Diggle Oldham OL3 5PS England,OL3 5PS,-1.998073,53.567753
NEON EGG LTD,11911028,Active,Private limited company,,,2019-03-28,,,32200,Unit 11 Saunders Drive Somerton Industrial Estate Cowes PO31 8HU United Kingdom,PO31 8HU,-1.303138,50.748729
BLOVE SACRED SOUND LTD,16203677,Active,Private limited company,,,2025-01-23,,,32200,Glandwr Pontsian Llandysul SA44 4UA Wales,SA44 4UA,-4.271204,52.117024
CADAC MORRIS LTD,12568762,Active,Private limited company,,,2020-04-22,,,27900 32200,38 Cromwell Road Luton LU3 1DN England,LU3 1DN,-0.423151,51.886579
BOWES BAGS LIMITED,SC279526,Active,Private limited company,,,2005-02-07,,,32200,18 Broompark Drive Inchinnan PA4 9QF ,PA4 9QF,-4.435109,55.89244
ALL INSTRUMENTS LIMITED,05410635,Active,Private limited company,,,2005-04-01,,,32200,"Madbrook Farm, Warminster Road Westbury Wiltshire BA13 3RB ",BA13 3RB,-2.189155,51.245227
SKOOGMUSIC LTD,SC362999,Dissolved,Private limited company,,2025-06-21,2009-07-23,,,32200,"C/O Quantuma Advisory Limited Third Floor, Turnberry House 175 West George Street Glasgow G2 2LB ",G2 2LB,-4.258497,55.862322
SHAMANIC EARTH LTD,14897512,Active,Private limited company,,,2023-05-26,,,32200 32990 47910 96090,Oakfield House Coalyard Lane South Clifton Newark NG23 7AH England,NG23 7AH,-0.771203,53.220607
